global_step,phase,run,epoch,loss,lr
19131,pretrain,ep-3-res,,0.159607,9.547394672253433e-06
19281,pretrain,ep-3-res,,0.159642,9.540192823845797e-06
19481,pretrain,ep-3-res,,0.159615,9.530506285830464e-06
19531,pretrain,ep-3-res,,0.159593,9.528069659775313e-06
19581,pretrain,ep-3-res,,0.159555,9.52562704360634e-06
19681,pretrain,ep-3-res,,0.159559,9.520723854004462e-06
19731,pretrain,ep-3-res,,0.15953,9.518263287130336e-06
19781,pretrain,ep-3-res,,0.159537,9.515796743259924e-06
19831,pretrain,ep-3-res,,0.159509,9.513324225692622e-06
20031,pretrain,ep-3-res,,0.159441,9.503374484721834e-06
20181,pretrain,ep-3-res,,0.15942,9.49584961803395e-06
20231,pretrain,ep-3-res,,0.159462,9.493329430627366e-06
20331,pretrain,ep-3-res,,0.159435,9.488271228263197e-06
20531,pretrain,ep-3-res,,0.159349,9.478083608223412e-06
20631,pretrain,ep-3-res,,0.159273,9.472954245057873e-06
20681,pretrain,ep-3-res,,0.159271,9.470380687175203e-06
20731,pretrain,ep-3-res,,0.159253,9.467801216346674e-06
20831,pretrain,ep-3-res,,0.159221,9.462624549661713e-06
20881,pretrain,ep-3-res,,0.159213,9.460027360729888e-06
21031,pretrain,ep-3-res,,0.159216,9.452200413290368e-06
21131,pretrain,ep-3-res,,0.159201,9.446952999379529e-06
21231,pretrain,ep-3-res,,0.159185,9.44168205904582e-06
21331,pretrain,ep-3-res,,0.159167,9.436387620492025e-06
21531,pretrain,ep-3-res,,0.15908,9.425728362163841e-06
21581,pretrain,ep-3-res,,0.159075,9.423048905609598e-06
21681,pretrain,ep-3-res,,0.159051,9.417672447196389e-06
21731,pretrain,ep-3-res,,0.159029,9.414975452529263e-06
21831,pretrain,ep-3-res,,0.159005,9.409563950312209e-06
21881,pretrain,ep-3-res,,0.159025,9.406849450001007e-06
22081,pretrain,ep-3-res,,0.158991,9.395933205554191e-06
22131,pretrain,ep-3-res,,0.158959,9.393189601894695e-06
22231,pretrain,ep-3-res,,0.15897,9.387684969181086e-06
22281,pretrain,ep-3-res,,0.158951,9.38492394749028e-06
22331,pretrain,ep-3-res,,0.158947,9.382157127165284e-06
22481,pretrain,ep-3-res,,0.158957,9.373821911434383e-06
22681,pretrain,ep-3-res,,0.158928,9.362627334997275e-06
22731,pretrain,ep-3-res,,0.158918,9.359814259487095e-06
22781,pretrain,ep-3-res,,0.158909,9.356995418930827e-06
22881,pretrain,ep-3-res,,0.158924,9.351340457770302e-06
22931,pretrain,ep-3-res,,0.158943,9.348504344730415e-06
22981,pretrain,ep-3-res,,0.158926,9.345662481773223e-06
23131,pretrain,ep-3-res,,0.158893,9.33710243145049e-06
23181,pretrain,ep-3-res,,0.158868,9.33423760691519e-06
23231,pretrain,ep-3-res,,0.158868,9.331367051546554e-06
23331,pretrain,ep-3-res,,0.158841,9.325608763676174e-06
23481,pretrain,ep-3-res,,0.15882,9.316928446864764e-06
23581,pretrain,ep-3-res,,0.158795,9.311113024141523e-06
